make,model,yearFrom,yearTo,body,drive,cylinders,displacement,hp,trans,gears,seats,clearanceMm,reliability,mpg,priceUsd,looks,tags
Lexus,GS 350,2013,2020,sedan,rwd,6,3.5,311,auto,8,5,140,5,23,25000,4,"six,rwd,quiet"
Genesis,G80,2018,2023,sedan,awd,6,3.3,365,auto,8,5,140,4,21,30000,4,"premium,fast,comfort"
Chrysler,300,2015,2023,sedan,rwd,6,3.6,292,auto,8,5,140,3,23,18000,3,"big,comfort,six"
Dodge,Charger Hellcat,2015,2023,sedan,rwd,8,6.2,707,auto,8,5,140,2,16,55000,5,"v8,fast,supercharged,loud"
Cadillac,CT5-V,2020,2024,sedan,rwd,6,3,360,auto,10,5,135,3,21,40000,4,"fast,premium,six"
Alfa Romeo,Giulia,2017,2024,sedan,rwd,4,2,280,auto,8,5,135,2,27,24000,5,"stylish,quick,turbo"
Volvo,S60,2019,2024,sedan,awd,4,2,247,auto,8,5,145,3,28,25000,4,"safe,premium,turbo"
Toyota,Crown,2023,2025,sedan,awd,4,2.5,236,cvt,1,5,160,5,41,38000,3,"hybrid,comfort,quiet"
Toyota,Camry,2002,2006,sedan,fwd,4,2.4,157,auto,5,5,150,5,26,5000,2,"cheap,tough,commuter"
Toyota,Corolla,2003,2008,sedan,fwd,4,1.8,126,auto,4,5,150,5,30,5000,2,"cheap,frugal,tough"
Honda,Civic,2006,2011,sedan,fwd,4,1.8,140,manual,5,5,145,5,29,6000,2,"cheap,frugal,solid"
Chevrolet,Malibu,2013,2019,sedan,fwd,4,2.5,196,auto,6,5,145,3,29,9000,2,"cheap,comfort"
Hyundai,Accent,2012,2017,sedan,fwd,4,1.6,138,auto,6,5,140,4,31,6000,2,"cheap,frugal"
Hyundai,Ioniq Hybrid,2017,2022,hatch,fwd,4,1.6,139,dct,6,5,140,4,58,17000,2,"hybrid,frugal,cheap"
Toyota,Prius Prime,2017,2022,hatch,fwd,4,1.8,121,cvt,1,5,145,5,54,22000,2,"hybrid,frugal"
Audi,A4 Allroad,2017,2023,wagon,awd,4,2,248,auto,7,5,175,3,27,27000,4,"wagon,quattro,practical,offroad"
Audi,RS4 Avant,2018,2023,wagon,awd,6,2.9,444,auto,8,5,140,2,21,60000,5,"wagon,fast,quattro"
Volvo,V90,2017,2022,wagon,awd,4,2,316,auto,8,5,150,3,27,32000,4,"wagon,safe,premium"
Volvo,V50,2004,2012,wagon,fwd,5,2.4,168,manual,5,5,145,3,24,6000,2,"wagon,five,cheap"
Mercedes-Benz,E450 All-Terrain,2021,2024,wagon,awd,6,3,362,auto,9,5,190,3,25,50000,4,"wagon,six,offroad"
Mercedes-Benz,E63 S Estate,2018,2023,wagon,awd,8,4,603,auto,9,5,135,2,18,70000,5,"v8,wagon,fast"
Mercedes-Benz,C300 Estate,2015,2021,wagon,rwd,4,2,241,auto,9,5,145,3,27,22000,4,"wagon,premium,turbo"
BMW,540i Touring,2018,2023,wagon,awd,6,3,335,auto,8,5,140,3,25,35000,4,"wagon,six,quick"
Skoda,Octavia Combi,2021,2024,wagon,fwd,4,2,148,dct,7,5,150,3,38,20000,3,"wagon,practical,diesel,frugal"
Peugeot,508 SW,2019,2024,wagon,fwd,4,1.5,129,auto,8,5,150,3,48,20000,4,"wagon,diesel,frugal,stylish"
Volkswagen,Passat Variant,2015,2022,wagon,fwd,4,2,148,dct,7,5,150,3,40,15000,3,"wagon,diesel,practical,frugal"
Subaru,Outback,2020,2024,wagon,awd,4,2.4,260,cvt,1,5,220,4,25,28000,3,"wagon,awd,offroad,turbo"
Subaru,Legacy Wagon,2005,2009,wagon,awd,4,2.5,173,manual,5,5,165,3,23,7000,3,"wagon,awd,cheap"
Toyota,Highlander,2020,2024,suv,awd,6,3.5,295,auto,8,8,200,5,24,35000,3,"3row,family,comfort"
Toyota,Land Cruiser Prado,2010,2023,suv,4x4,6,4,270,auto,5,7,220,5,17,30000,3,"offroad,tough,3row"
Toyota,FJ Cruiser,2007,2014,suv,4x4,6,4,260,manual,6,5,240,5,18,30000,5,"offroad,tough,retro,boxy"
Lexus,LX 570,2008,2021,suv,4x4,8,5.7,383,auto,8,8,220,5,15,50000,4,"v8,luxury,offroad,3row,tough"
Nissan,Xterra,2005,2015,suv,4x4,6,4,261,manual,6,5,230,4,17,14000,4,"offroad,tough,boxy"
Nissan,Patrol Y61,1997,2013,suv,4x4,6,4.2,128,manual,5,7,230,4,18,15000,3,"offroad,diesel,tough,legend"
Nissan,Rogue,2021,2024,suv,awd,3,1.5,201,cvt,1,5,200,4,33,24000,3,"practical,frugal,family"
Honda,Passport,2019,2024,suv,awd,6,3.5,280,auto,9,5,210,4,22,28000,3,"practical,offroad,family"
Mazda,CX-30,2020,2024,suv,awd,4,2.5,186,auto,6,5,175,4,28,23000,4,"small,stylish,practical"
Hyundai,Tucson,2022,2024,suv,awd,4,2.5,187,auto,8,5,185,4,26,24000,4,"practical,family,stylish"
Hyundai,Santa Fe,2019,2023,suv,awd,4,2.5,191,auto,8,5,185,4,25,24000,3,"family,practical"
Kia,Seltos,2021,2024,suv,awd,4,2,146,cvt,1,5,180,4,29,21000,3,"small,practical,cheap"
Kia,Sorento,2021,2024,suv,awd,4,2.5,281,dct,8,7,175,4,25,30000,4,"3row,turbo,family"
Ford,Escape,2020,2024,suv,awd,3,1.5,181,auto,8,5,200,3,28,20000,2,"practical,frugal"
Ford,Edge,2019,2024,suv,awd,4,2,250,auto,8,5,200,3,24,22000,3,"practical,comfort,turbo"
Jeep,Renegade,2015,2023,suv,4x4,4,2.4,180,auto,9,5,210,2,24,14000,3,"small,offroad,boxy"
Land Rover,Discovery 5,2017,2024,suv,4x4,6,3,340,auto,8,7,280,2,20,35000,3,"offroad,3row,premium"
Land Rover,Range Rover Sport,2014,2022,suv,4x4,6,3,340,auto,8,5,280,2,20,30000,4,"offroad,premium,tow"
Mercedes-Benz,GLC 300,2016,2022,suv,awd,4,2,241,auto,9,5,180,3,25,28000,3,"premium,practical,turbo"
BMW,X1,2016,2022,suv,awd,4,2,228,auto,8,5,180,3,26,22000,3,"small,premium,practical"
Audi,Q7,2017,2024,suv,awd,6,3,335,auto,8,7,200,3,21,33000,3,"3row,quattro,premium"
Volkswagen,Tiguan,2018,2024,suv,awd,4,2,184,auto,8,7,200,3,25,21000,3,"practical,3row,family"
Volvo,XC60,2018,2024,suv,awd,4,2,247,auto,8,5,215,3,26,28000,4,"safe,premium,practical"
Porsche,Cayenne Turbo,2015,2018,suv,awd,8,4.8,520,auto,8,5,215,2,16,45000,5,"v8,fast,premium"
Mitsubishi,Outlander,2022,2024,suv,awd,4,2.5,181,cvt,1,7,210,4,27,26000,3,"3row,practical,family"
Suzuki,Vitara,2015,2023,suv,awd,4,1.6,118,manual,6,5,185,4,34,13000,3,"small,offroad,frugal"
Subaru,Forester,2009,2013,suv,awd,4,2.5,170,manual,5,5,220,4,24,8000,2,"awd,practical,cheap,offroad"
Honda,e,2020,2023,hatch,rwd,0,0,152,single,1,4,140,4,100,22000,4,"ev,city,retro,tech"
Toyota,bZ4X,2023,2025,suv,awd,0,0,214,single,1,5,210,4,96,30000,3,"ev,practical,tech"
Ford,Mustang Mach-E,2021,2024,suv,awd,0,0,346,single,1,5,145,3,95,33000,4,"ev,quick,stylish,tech"
Volkswagen,ID.4,2021,2024,suv,awd,0,0,295,single,1,5,165,3,97,28000,3,"ev,practical,family,tech"
Volkswagen,ID.Buzz,2023,2025,van,rwd,0,0,282,single,1,7,170,3,78,55000,5,"ev,van,retro,family,tech"
Audi,e-tron,2019,2023,suv,awd,0,0,402,single,1,5,190,3,78,35000,3,"ev,premium,quiet,tech"
Rivian,R1S,2022,2025,suv,awd,0,0,835,single,1,7,360,3,69,70000,5,"ev,offroad,3row,fast,tough"
Rivian,R1T,2022,2025,pickup,awd,0,0,835,single,1,5,360,3,70,65000,5,"ev,truck,offroad,fast,tough"
Toyota,Tundra,2022,2024,pickup,4x4,6,3.4,389,auto,10,5,250,4,20,45000,4,"truck,tow,turbo,tough"
Chevrolet,Colorado,2015,2022,pickup,4x4,6,3.6,308,auto,8,5,220,3,20,25000,3,"truck,offroad"
Chevrolet,Colorado ZR2,2017,2022,pickup,4x4,6,3.6,308,auto,8,5,240,3,19,35000,5,"offroad,truck,tough"
Ford,F-150 Raptor,2017,2020,pickup,4x4,6,3.5,450,auto,10,5,300,3,17,50000,5,"offroad,truck,fast,tough"
Ford,Maverick,2022,2024,pickup,fwd,4,2.5,191,cvt,1,5,205,4,37,27000,3,"truck,hybrid,frugal,small"
Ford,Ranger Raptor,2019,2023,pickup,4x4,4,2,210,auto,10,5,280,3,25,40000,5,"offroad,truck,diesel,tough"
GMC,Canyon,2015,2022,pickup,4x4,6,3.6,308,auto,8,5,220,3,20,26000,3,"truck,offroad"
Nissan,Titan,2017,2024,pickup,4x4,8,5.6,400,auto,9,5,240,3,18,30000,3,"v8,truck,tow"
Mitsubishi,L200,2015,2023,pickup,4x4,4,2.4,178,manual,6,5,220,4,27,22000,3,"truck,diesel,offroad"
Volkswagen,Amarok,2016,2022,pickup,4x4,6,3,255,auto,8,5,230,3,24,30000,3,"truck,diesel,tow"
Jeep,Gladiator,2020,2024,pickup,4x4,6,3.6,285,manual,6,5,280,3,19,35000,5,"offroad,truck,boxy,tough"
Toyota,Sienna,2021,2024,van,awd,4,2.5,245,cvt,1,8,155,5,35,38000,2,"van,hybrid,family,frugal,practical"
Kia,Carnival,2022,2024,van,fwd,6,3.5,290,auto,8,8,170,4,22,32000,3,"van,family,3row,practical"
Volkswagen,Transporter T6,2015,2023,van,fwd,4,2,148,dct,7,5,175,3,32,28000,2,"van,diesel,cargo,practical"
Mercedes-Benz,V-Class,2015,2023,van,rwd,4,2.1,187,auto,7,7,180,3,33,35000,3,"van,diesel,premium,family"
Ford,Transit Custom,2016,2023,van,fwd,4,2,168,manual,6,3,180,3,33,22000,1,"van,diesel,cargo"
Renault,Trafic,2015,2023,van,fwd,4,1.6,143,manual,6,3,175,3,36,18000,1,"van,diesel,cargo"
Porsche,718 Cayman,2017,2024,coupe,rwd,4,2,300,dct,7,2,115,3,24,55000,5,"mid,sporty,balanced,track"
Porsche,911 991,2012,2019,coupe,rwd,6,3,370,dct,7,4,110,3,22,70000,5,"six,sporty,icon,fast"
Porsche,Boxster 987,2005,2012,convertible,rwd,6,2.7,245,manual,5,2,120,3,22,22000,5,"mid,sporty,balanced"
Toyota,MR2 Spyder,2000,2007,convertible,rwd,4,1.8,138,manual,5,2,130,4,28,14000,4,"mid,light,fun,jdm"
Lotus,Elise,2005,2011,convertible,rwd,4,1.8,189,manual,6,2,130,2,26,40000,5,"mid,light,track,sporty"
Audi,R8 4.2,2008,2015,coupe,awd,8,4.2,420,manual,6,2,115,3,15,70000,5,"mid,v8,fast,sporty"
Chevrolet,Corvette C8,2020,2024,coupe,rwd,8,6.2,495,dct,8,2,125,3,19,70000,5,"mid,v8,fast,sporty"
Nissan,350Z,2003,2009,coupe,rwd,6,3.5,306,manual,6,2,130,3,20,15000,4,"jdm,sporty,rwd"
Nissan,Z,2023,2025,coupe,rwd,6,3,400,manual,6,2,115,3,21,45000,5,"jdm,fast,sporty,turbo"
Mazda,RX-7 FD,1993,2002,coupe,rwd,2,1.3,255,manual,5,2,135,1,17,40000,5,"rotary,jdm,sporty,icon,light"
Toyota,Celica,2000,2006,coupe,fwd,4,1.8,180,manual,6,4,140,4,28,9000,4,"jdm,fun,cheap,light"
Honda,Integra Type R,1997,2001,coupe,fwd,4,1.8,195,manual,5,4,140,4,25,40000,5,"jdm,sporty,icon,track,light"
Subaru,BRZ,2013,2020,coupe,rwd,4,2,205,manual,6,4,130,4,26,20000,5,"sporty,fun,light,balanced"
Toyota,GR Supra 2.0,2021,2025,coupe,rwd,4,2,255,auto,8,2,115,4,28,40000,5,"sporty,jdm,turbo"
BMW,M4,2015,2020,coupe,rwd,6,3,425,dct,7,4,130,2,20,45000,5,"fast,sporty,turbo"
BMW,435i,2014,2016,coupe,rwd,6,3,300,auto,8,4,135,3,25,22000,4,"six,quick,premium"
Mercedes-Benz,AMG GT,2016,2021,coupe,rwd,8,4,469,dct,7,2,110,2,18,70000,5,"v8,fast,sporty,loud"
Hyundai,Genesis Coupe,2010,2016,coupe,rwd,6,3.8,348,manual,6,4,140,3,21,15000,4,"rwd,sporty,cheap"
Ford,Mondeo,2015,2022,sedan,fwd,4,2,187,auto,6,5,145,3,29,12000,3,"comfort,practical,diesel"
Ford,Focus ST,2019,2022,hatch,fwd,4,2.3,276,manual,6,5,135,3,26,26000,4,"sporty,fun,turbo"
Ford,Focus RS,2016,2018,hatch,awd,4,2.3,350,manual,6,5,135,3,22,35000,5,"fast,awd,sporty,track"
Ford,Puma,2020,2024,suv,fwd,3,1,153,dct,7,5,165,3,40,20000,3,"small,frugal,practical"
Ford,Kuga,2020,2024,suv,awd,4,2.5,190,cvt,1,5,190,3,37,22000,3,"practical,hybrid,family"
Ford,S-Max,2015,2023,van,fwd,4,2,187,auto,8,7,150,3,38,16000,3,"van,diesel,family,practical"
Ford,Galaxy,2015,2023,van,fwd,4,2,187,auto,8,7,150,3,38,17000,2,"van,diesel,family"
Opel,Astra,2016,2021,hatch,fwd,3,1.2,128,manual,6,5,145,3,42,13000,3,"small,frugal,practical"
Opel,Mokka,2021,2024,suv,fwd,3,1.2,128,auto,8,5,165,3,40,18000,4,"small,stylish,frugal"
Opel,Grandland,2018,2024,suv,fwd,4,1.5,129,auto,8,5,180,3,45,17000,3,"practical,diesel,frugal"
Opel,Zafira,2012,2019,van,fwd,4,1.6,134,manual,6,7,150,2,38,9000,2,"van,family,diesel,cheap"
Renault,Megane,2016,2022,hatch,fwd,4,1.5,113,dct,7,5,145,3,50,12000,3,"diesel,frugal,practical"
Renault,Captur,2020,2024,suv,fwd,3,1.3,138,dct,7,5,170,3,38,17000,3,"small,practical,frugal"
Renault,Twingo,2014,2023,hatch,rwd,3,0.9,89,manual,5,4,145,3,44,9000,3,"tiny,city,quirky,light"
Renault,Zoe,2013,2023,hatch,fwd,0,0,134,single,1,5,140,3,100,10000,2,"ev,city,frugal,cheap"
Peugeot,3008,2017,2024,suv,fwd,4,1.5,129,auto,8,5,170,3,46,18000,4,"practical,diesel,frugal,stylish"
Peugeot,5008,2017,2024,suv,fwd,4,1.5,129,auto,8,7,170,3,45,20000,3,"3row,diesel,practical,family"
Peugeot,2008,2020,2024,suv,fwd,3,1.2,129,auto,8,5,170,3,42,17000,4,"small,stylish,frugal"
Peugeot,206,1998,2010,hatch,fwd,4,1.4,75,manual,5,5,145,2,40,4000,2,"tiny,cheap,city"
Citroen,C4,2020,2024,hatch,fwd,3,1.2,128,auto,8,5,156,3,42,17000,3,"small,frugal,quirky"
Citroen,C5 Aircross,2019,2024,suv,fwd,4,1.5,129,auto,8,5,180,3,45,19000,3,"practical,diesel,comfort"
Citroen,C5 X,2022,2024,wagon,fwd,4,1.6,179,auto,8,5,170,3,40,25000,4,"wagon,comfort,hybrid,quirky"
Seat,Leon,2020,2024,hatch,fwd,4,1.5,148,dct,7,5,145,3,40,18000,4,"practical,frugal,stylish"
Seat,Ateca,2017,2024,suv,awd,4,2,187,dct,7,5,180,3,30,19000,3,"practical,family,turbo"
Seat,Arona,2018,2024,suv,fwd,3,1,109,dct,7,5,170,3,42,15000,3,"small,practical,frugal"
Skoda,Kodiaq,2017,2024,suv,awd,4,2,187,dct,7,7,190,4,26,24000,3,"3row,practical,family"
Skoda,Karoq,2018,2024,suv,awd,4,2,187,dct,7,5,180,4,30,20000,3,"practical,family"
Skoda,Rapid,2013,2019,sedan,fwd,4,1.2,104,manual,5,5,145,4,42,8000,2,"cheap,practical,frugal"
Skoda,Scala,2019,2024,hatch,fwd,3,1,114,dct,7,5,150,4,44,15000,3,"practical,frugal,small"
Volkswagen,T-Roc,2018,2024,suv,awd,4,2,187,dct,7,5,170,3,30,20000,4,"small,stylish,practical"
Volkswagen,T-Cross,2019,2024,suv,fwd,3,1,109,dct,7,5,180,3,42,16000,3,"small,practical,frugal"
Volkswagen,Touran,2015,2023,van,fwd,4,2,148,dct,7,7,145,3,43,16000,2,"van,diesel,family,practical"
Volkswagen,Sharan,2010,2022,van,fwd,4,2,148,dct,6,7,145,3,40,14000,2,"van,diesel,family"
Volkswagen,Caddy,2015,2023,van,fwd,4,2,101,manual,5,5,165,3,45,14000,1,"van,diesel,cargo,frugal"
Volkswagen,Scirocco,2009,2017,coupe,fwd,4,2,207,dct,6,4,135,3,30,12000,4,"sporty,stylish,turbo"
Volkswagen,Golf Mk4 GTI,1998,2004,hatch,fwd,4,1.8,178,manual,5,5,135,2,26,6000,3,"sporty,classic,turbo"
Volkswagen,Golf Mk2 GTI,1984,1992,hatch,fwd,4,1.8,110,manual,5,5,140,3,28,9000,4,"classic,light,fun"
Volkswagen,Beetle,1970,1979,sedan,rwd,4,1.6,57,manual,4,4,150,3,25,12000,4,"classic,quirky,icon,cheap"
Audi,A1,2019,2024,hatch,fwd,3,1,114,dct,7,5,140,3,42,18000,3,"small,premium,frugal"
Audi,Q3,2019,2024,suv,awd,4,2,228,dct,8,5,180,3,25,26000,3,"small,quattro,premium"
Audi,A5 Sportback,2017,2023,sedan,awd,4,2,248,auto,7,5,140,3,27,27000,4,"stylish,quattro,premium"
Audi,S5,2018,2023,coupe,awd,6,3,349,auto,8,4,135,3,24,35000,4,"fast,quattro,premium"
Audi,RS3,2017,2024,sedan,awd,5,2.5,394,dct,7,5,135,3,22,45000,5,"five,fast,quattro,loud"
Audi,S6,2013,2018,sedan,awd,8,4,450,dct,7,5,140,2,21,30000,4,"v8,fast,quattro,sleeper"
BMW,118i,2015,2019,hatch,rwd,3,1.5,134,auto,8,5,140,3,38,13000,3,"rwd,small,frugal"
BMW,M135i,2016,2019,hatch,rwd,6,3,335,auto,8,5,135,3,26,25000,4,"fast,six,rwd,sleeper"
BMW,520d,2017,2023,sedan,rwd,4,2,187,auto,8,5,140,3,47,22000,3,"diesel,frugal,comfort"
BMW,X3,2018,2024,suv,awd,4,2,248,auto,8,5,204,3,25,28000,3,"practical,premium,awd"
BMW,X7,2019,2024,suv,awd,6,3,335,auto,8,7,221,3,23,50000,3,"3row,premium,big"
BMW,M5 F90,2018,2023,sedan,awd,8,4.4,600,auto,8,5,135,2,17,60000,5,"v8,fast,premium"
BMW,i3,2014,2022,hatch,rwd,0,0,170,single,1,4,140,3,113,15000,4,"ev,city,quirky,tech"
BMW,i4,2022,2024,sedan,rwd,0,0,335,single,1,5,130,3,109,40000,4,"ev,quick,premium,tech"
Mercedes-Benz,A250,2019,2024,hatch,fwd,4,2,221,dct,7,5,140,3,28,24000,4,"premium,turbo,small"
Mercedes-Benz,CLA 250,2020,2024,sedan,fwd,4,2,221,dct,7,5,140,3,28,26000,4,"stylish,premium,turbo"
Mercedes-Benz,GLA 250,2021,2024,suv,awd,4,2,221,dct,8,5,190,3,27,28000,3,"small,premium,practical"
Mercedes-Benz,GLS 450,2020,2024,suv,awd,6,3,362,auto,9,7,200,3,22,55000,3,"3row,luxury,big"
Mercedes-Benz,S500,2014,2020,sedan,rwd,8,4.7,449,auto,7,5,140,2,20,35000,3,"v8,luxury,quiet,comfort"
Mercedes-Benz,190E,1982,1993,sedan,rwd,4,2,118,manual,5,5,150,4,25,9000,3,"classic,tough,cheap"
Volvo,XC40,2018,2024,suv,awd,4,2,248,auto,8,5,211,3,26,26000,4,"small,safe,premium"
Volvo,V40,2013,2019,hatch,fwd,4,2,187,auto,8,5,145,3,40,12000,3,"safe,frugal,practical,diesel"
Volvo,XC70,2008,2016,wagon,awd,6,3.2,240,auto,6,5,210,3,20,9000,3,"wagon,offroad,awd,safe"
Volvo,S90,2017,2024,sedan,awd,4,2,316,auto,8,5,150,3,27,28000,3,"safe,premium,comfort"
Volvo,940,1991,1998,wagon,rwd,4,2.3,114,manual,5,5,155,4,22,7000,2,"wagon,classic,boxy,tough"
Volvo,EX30,2024,2025,suv,rwd,0,0,268,single,1,5,175,3,104,35000,4,"ev,small,safe,quick"
Saab,900 Turbo,1979,1993,hatch,fwd,4,2,160,manual,5,5,150,3,22,12000,4,"classic,turbo,quirky"
Saab,9-3,2003,2011,sedan,fwd,4,2,207,manual,6,5,145,2,25,6000,3,"turbo,quirky,cheap"
Alfa Romeo,Stelvio,2018,2024,suv,awd,4,2,280,auto,8,5,200,2,26,28000,5,"stylish,quick,turbo"
Alfa Romeo,4C,2015,2020,coupe,rwd,4,1.75,237,dct,6,2,115,2,28,45000,5,"mid,light,sporty,track"
Alfa Romeo,159,2005,2011,sedan,fwd,4,1.9,148,manual,6,5,145,2,34,6000,4,"stylish,diesel,cheap"
Fiat,500 Abarth,2012,2019,hatch,fwd,4,1.4,160,manual,5,4,130,2,31,11000,4,"tiny,sporty,loud,fun"
Fiat,Tipo,2016,2023,hatch,fwd,4,1.6,118,dct,6,5,150,3,42,10000,2,"cheap,practical,diesel"
Fiat,500e,2024,2025,hatch,fwd,0,0,117,single,1,4,130,3,102,30000,4,"ev,tiny,city,retro"
Dacia,Sandero,2021,2024,hatch,fwd,3,1,89,manual,6,5,155,3,45,12000,2,"cheap,frugal,practical"
Dacia,Logan,2013,2020,sedan,fwd,4,1.5,89,manual,5,5,155,3,48,7000,1,"cheap,frugal,diesel"
Mini,Countryman,2017,2023,suv,awd,4,2,189,auto,8,5,165,3,27,20000,4,"small,practical,retro"
Smart,Fortwo,2016,2024,hatch,rwd,3,0.9,89,dct,6,2,140,3,36,9000,3,"tiny,city,quirky"
Jaguar,XE,2016,2024,sedan,rwd,4,2,247,auto,8,5,135,2,28,20000,4,"stylish,premium,turbo"
Jaguar,XF,2016,2024,sedan,rwd,4,2,247,auto,8,5,140,2,29,20000,4,"stylish,premium,comfort"
Jaguar,F-Type,2014,2024,coupe,rwd,6,3,380,auto,8,2,115,2,21,45000,5,"supercharged,fast,sporty,loud"
Jaguar,F-Pace,2017,2024,suv,awd,4,2,247,auto,8,5,213,2,25,28000,4,"stylish,premium,practical"
Land Rover,Defender 110,2020,2025,suv,4x4,6,3,395,auto,8,7,291,2,19,60000,5,"offroad,boxy,tough,3row"
Land Rover,Freelander 2,2007,2014,suv,4x4,4,2.2,187,auto,6,5,210,2,27,8000,2,"offroad,diesel,cheap"
Maserati,Ghibli,2014,2023,sedan,rwd,6,3,345,auto,8,5,135,1,22,25000,5,"stylish,fast,loud"
Porsche,Cayman 981,2013,2016,coupe,rwd,6,2.7,271,manual,6,2,115,3,23,40000,5,"mid,sporty,balanced"
Porsche,Boxster 981,2013,2016,convertible,rwd,6,2.7,261,manual,6,2,120,3,23,38000,5,"mid,sporty,balanced"
Porsche,718 Boxster,2017,2024,convertible,rwd,4,2,300,dct,7,2,115,3,24,52000,5,"mid,sporty,turbo"
Porsche,911 992,2019,2024,coupe,rwd,6,3,379,dct,8,4,110,3,20,95000,5,"six,sporty,icon,fast"
Porsche,911 964,1989,1994,coupe,rwd,6,3.6,247,manual,5,4,120,3,19,80000,5,"six,classic,icon"
Porsche,Taycan,2020,2024,sedan,awd,0,0,522,single,2,4,130,3,79,70000,5,"ev,fast,premium,tech"
Lotus,Evora,2010,2021,coupe,rwd,6,3.5,400,manual,6,4,130,2,22,55000,5,"mid,light,sporty,track"
Lotus,Exige S,2012,2021,coupe,rwd,6,3.5,345,manual,6,2,120,2,23,60000,5,"mid,light,track,sporty"
Ferrari,360 Modena,1999,2005,coupe,rwd,8,3.6,394,manual,6,2,115,2,14,90000,5,"mid,v8,fast,icon"
Toyota,Chaser JZX100,1996,2001,sedan,rwd,6,2.5,276,manual,5,5,145,4,20,22000,4,"jdm,turbo,drift,six"
Toyota,Altezza,1998,2005,sedan,rwd,4,2,207,manual,6,5,140,4,24,12000,4,"jdm,rwd,sporty"
Toyota,MR2 SW20,1989,1999,coupe,rwd,4,2,200,manual,5,2,130,3,23,18000,4,"mid,jdm,turbo,sporty"
Toyota,MR2 AW11,1984,1989,coupe,rwd,4,1.6,112,manual,5,2,140,4,28,15000,4,"mid,light,jdm,classic"
Toyota,Starlet GT,1989,1999,hatch,fwd,4,1.3,133,manual,5,4,140,4,32,12000,4,"jdm,tiny,turbo,light"
Toyota,Auris,2013,2018,hatch,fwd,4,1.8,134,cvt,1,5,140,5,42,10000,2,"hybrid,frugal,practical"
Toyota,Verso,2013,2018,van,fwd,4,1.6,130,manual,6,7,150,4,38,9000,2,"van,family,practical"
Toyota,Avensis,2015,2018,wagon,fwd,4,1.6,110,manual,6,5,150,5,47,9000,2,"wagon,diesel,frugal,practical"
Toyota,C-HR,2018,2023,suv,fwd,4,2,144,cvt,1,5,160,5,33,18000,4,"stylish,hybrid,frugal,small"
Toyota,Yaris Cross,2021,2024,suv,awd,3,1.5,114,cvt,1,5,170,5,50,20000,3,"hybrid,frugal,small,practical"
Nissan,Skyline R33 GTS-t,1993,1998,coupe,rwd,6,2.5,247,manual,5,4,135,3,21,20000,4,"jdm,turbo,drift,six"
Nissan,Skyline R34 GT-T,1998,2002,coupe,rwd,6,2.5,276,manual,5,4,135,3,20,30000,5,"jdm,turbo,drift,six"
Nissan,Silvia S15,1999,2002,coupe,rwd,4,2,247,manual,6,4,135,3,23,30000,5,"jdm,turbo,drift,light"
Nissan,Micra,2010,2016,hatch,fwd,3,1.2,79,manual,5,5,150,4,44,6000,2,"tiny,cheap,city"
Nissan,Juke,2011,2019,suv,fwd,4,1.6,188,cvt,1,5,180,3,28,11000,4,"small,quirky,turbo"
Nissan,Qashqai,2014,2021,suv,fwd,4,1.5,108,manual,6,5,180,3,50,13000,3,"practical,diesel,frugal"
Nissan,X-Trail,2014,2021,suv,awd,4,1.6,128,cvt,1,7,210,3,44,14000,3,"3row,diesel,practical,family"
Nissan,Navara,2015,2023,pickup,4x4,4,2.3,187,auto,7,5,225,3,28,24000,3,"truck,diesel,offroad"
Nissan,Ariya,2023,2025,suv,awd,0,0,389,single,1,5,180,4,89,35000,4,"ev,practical,quiet,tech"
Mazda,MX-5 NA,1989,1997,convertible,rwd,4,1.6,116,manual,5,2,130,4,28,12000,4,"light,fun,icon,jdm"
Mazda,MX-5 NB,1998,2005,convertible,rwd,4,1.8,140,manual,5,2,130,4,27,9000,4,"light,fun,jdm"
Mazda,MX-30,2022,2024,suv,fwd,0,0,143,single,1,5,140,4,92,22000,4,"ev,quirky,city"
Mazda,CX-90,2024,2025,suv,awd,6,3.3,340,auto,8,7,200,4,25,45000,4,"3row,six,premium,turbo"
Mazda,CX-60,2023,2025,suv,awd,6,3.3,280,auto,8,5,190,4,35,40000,4,"six,diesel,premium,practical"
Mitsubishi,3000GT,1990,1999,coupe,awd,6,3,296,manual,6,4,135,2,18,20000,4,"jdm,turbo,fast,six"
Mitsubishi,Eclipse,1995,1999,coupe,fwd,4,2,210,manual,5,4,140,3,23,10000,4,"jdm,turbo,cheap"
Mitsubishi,Lancer Evo VI,1999,2001,sedan,awd,4,2,276,manual,5,5,140,3,20,40000,5,"jdm,rally,fast,icon"
Subaru,SVX,1991,1996,coupe,awd,6,3.3,231,auto,4,4,145,3,19,12000,4,"jdm,quirky,six"
Subaru,Legacy GT,2005,2009,sedan,awd,4,2.5,243,manual,5,5,150,3,22,9000,3,"turbo,awd,sleeper"
Subaru,Ascent,2019,2024,suv,awd,4,2.4,260,cvt,1,8,220,3,23,28000,3,"3row,family,turbo,awd"
Subaru,XV,2018,2023,suv,awd,4,2,154,cvt,1,5,220,4,29,18000,3,"awd,offroad,practical"
Honda,Prelude,1992,2001,coupe,fwd,4,2.2,195,manual,5,4,140,4,25,12000,4,"jdm,fun,vtec"
Honda,CR-Z,2011,2016,coupe,fwd,4,1.5,130,manual,6,2,140,4,37,9000,4,"hybrid,jdm,light,quirky"
